"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"attachables/l85a1_ag";"Assault rifle with grenade launcher (Britain)";"L85 (L123)";"Fucile d'assalto con lanciagranate (Gran Bretagna)";"Sturmgewehr mit Granatwerfer (Großbritannien)";"Fusil de asalto con lanzagranadas (Bretaña)";"Автомат с подствольным гранатометом (Британия)";"Karabin szturmowy z granatnikiem (Wielka Brytania)";"Útočná puška s granátometem (Británie)";"Bombaatarlı Taarruz Tüfeği (Britanya)";"英\t国\t突\t击\t步\t枪\t与\t榴\t弹\t发\t射\t器";"グレネードランチャー\t付き\tアサルトライフル (イギリス)";"Fuzil de assalto com lançador de granadas (Grã-Bretanha)";"Автомат з підствольним гранатометом (Британія)";"Assault rifle with grenade launcher (Britain)";"Brit gépkarabély gránátvetővel";"유탄 발사기를 장착한 돌격소총 (영국)";"Автомат с подствольным гранатометом (Британия)";"Assault rifle with grenade launcher (Britain)";"英\t國\t突\t擊\t步\t槍\t與\t榴\t彈\t發\t射\t器\t（L85A1）";"Assault rifle with grenade launcher (Britain)";"Súng trường tấn công với ống phóng lựu (Anh)";;
"attachables/l85a1_ag/desc";"""Assault rifles with grenade launcher"" collection";"Collection ""Fusils d'assaut avec lance-grenades""";"""Fucili d'assalto con lancia granate"" collezione";"""Sturmgewehr mit Granatwerfer"" Sammlung";"Colección ""Fusiles de asalto con lanzagranadas""";"Коллекция ""Автоматы с подствольным гранатометом""";"""Karabin szturmowy z granatnikiem (Wielka Brytania";"Kolekce ""Útočné pušky s granátometem""";"""Bombaatarlı taarruz tüfekleri"" koleksiyonu";"“突\t击\t步\t枪\t与\t榴\t弹\t发\t射\t器”\t套\t装";"「グレネードランチャー\t付き\tアサルトライフル」\tコレクション";"Coleção ""Fuzis de assalto com lançador de granadas""";"Колекція ""Автомати з підствольним гранатометом""";"""Assault rifles with grenade launcher"" collection";"Gépkarabélyok gránátvetővel gyűjtemény része.";"""유탄 발사기를 장착한 돌격소총"" 컬렉션";"Коллекция ""Автоматы с подствольным гранатометом""";"""Assault rifles with grenade launcher"" collection";"“突\t擊\t步\t槍\t與\t榴\t彈\t發\t射\t器”\t套\t裝";"""Assault rifles with grenade launcher"" collection";"Bộ sưu tập ""Súng trường tấn công với ống phóng lựu""";;
"attachables/m4_carbine_ag";"Assault rifle with grenade launcher (USA)";"M4 (M203)";"Fucile d'assalto con lanciagranate (USA)";"Sturmgewehr mit Granatwerfer (USA)";"Fusil de asalto con lanzagranadas (EE.UU)";"Автомат с подствольным гранатометом (США)";"Karabin szturmowy z granatnikiem (USA)";"Útočná puška s granátometem (USA)";"Bombaatarlı Taarruz Tüfeği (ABD)";"美\t国\t突\t击\t步\t枪\t与\t榴\t弹\t发\t射\t器";"グレネードランチャー\t付き\tアサルトライフル (アメリカ)";"Fuzil de assalto com lançador de granadas (EUA)";"Автомат з підствольним гранатометом (США)";"Assault rifle with grenade launcher (USA)";"Amerikai gépkarabély gránátvetővel";"유탄 발사기를 장착한 돌격소총 (미국)";"Автомат с подствольным гранатометом (США)";"Assault rifle with grenade launcher (USA)";"美\t國\t突\t擊\t步\t槍\t與\t榴\t彈\t發\t射\t器\t（M4）";"Assault rifle with grenade launcher (USA)";"Súng trường tấn công với ống phóng lựu (Mỹ)";;
"attachables/m4_carbine_ag/desc";"""Assault rifles with grenade launcher"" collection";"Collection ""Fusils d'assaut avec lance-grenades""";"""Fucili d'assalto con lancia granate"" collezione";"""Sturmgewehr mit Granatwerfer"" Sammlung";"Colección ""Fusiles de asalto con lanzagranadas""";"Коллекция ""Автоматы с подствольным гранатометом""";"""Karabin szturmowy z granatnikiem (Wielka Brytania";"Kolekce ""Útočné pušky s granátometem""";"""Bombaatarlı taarruz tüfekleri"" koleksiyonu";"“突\t击\t步\t枪\t与\t榴\t弹\t发\t射\t器”\t套\t装";"「グレネードランチャー\t付き\tアサルトライフル」\tコレクション";"Coleção ""Fuzis de assalto com lançador de granadas""";"Колекція ""Автомати з підствольним гранатометом""";"""Assault rifles with grenade launcher"" collection";"Gépkarabélyok gránátvetővel gyűjtemény része.";"""유탄 발사기를 장착한 돌격소총"" 컬렉션";"Коллекция ""Автоматы с подствольным гранатометом""";"""Assault rifles with grenade launcher"" collection";"“突\t擊\t步\t槍\t與\t榴\t彈\t發\t射\t器”\t套\t裝";"""Assault rifles with grenade launcher"" collection";"Bộ sưu tập ""Súng trường tấn công với ống phóng lựu""";;
"attachables/bengal_light_decor";"Sparkler";"Cierge magique";"Bengala";"Tischfontäne";"Bengala";"Бенгальский огонь";"Zimne ognie";"Prskavka";"Maytap";"仙\t女\t棒";"線香花火";"Sparkler";"Бенгальський вогонь";"Sparkler";"Csillagszóró
";"작은 폭죽";"Бенгальский огонь";"Sparkler";"仙\t女\t棒";"Sparkler";"Pháo que";;
"attachables/snowman_decor";"Snowman";"Bonhomme de neige";"Pupazzo di Neve";"Schneemann";"Hombre de nieve";"Снеговик";"Bałwan";"Sněhulák";"Kardan Adam";"雪\t人";"雪だるま";"Homem de Neve";"Сніговик";"Snowman";"Hóember";"눈사람";"Снегавік";"Snowman";"雪\t人";"Snowman";"Người tuyết";;
"attachables/christmas_tree_decor";"New Year Tree";"Arbre de Noël";"Albero di Natale";"Weihnachtsbaum";"Árbol de Año Nuevo";"Новогодняя ёлка";"Choinka";"Novoroční strom";"Yeni Yıl Ağacı";"新\t年\t树";"新年の\tツリー";"Árvore de Ano Novo";"Новорічна ялинка";"New Year Tree";"Karácsonyfa";"크리스마스 트리";"Новогодняя ёлка";"New Year Tree";"新\t年\t樹";"New Year Tree";"Cây năm mới";;
"attachables/decor_composite_bow";"Compound bow";"Arc à poulies ";"Arco composito";"Kompositbogen";"Arco compuesto";"Блочный лук";"Łuk bloczkowy";"Kladkový luk";"Kompozit Yay";"复\t合\t弓";"コンパウンドボウ";"Arco compósito";"Блоковий лук";"Compound bow";"Összetett íj";"컴파운드 보우";"Блочный лук";"Compound bow";"複\t合\t弓";"Compound bow";"Cung thể thao";;
"attachables/gladius";"Gladius";"Gladius";"Gladio";"Gladius";"Gladius";"Гладиус";"Gladius";"Gladius";"Gladius";"罗\t马\t短\t剑";"グラディウス";"Gládio";"Гладіус";"Gladius";"Gladius";"글라디우스";"Гладиус";"Gladius";" 羅\t馬\t短\t劍";"Gladius";"Kiếm La Mã";;
"attachables/helmet_centurion";"Centurion helmet";"Casque de centurion";"Elmo da centurione";"Zenturionhelm";"Casco de centurión";"Шлем центуриона";"Hełm centuriona";"Centurionova helma";"Centurion miğferi";"百\t夫\t长\t头\t盔";"百人隊長の\t兜";"Gálea";"Шолом центуріона";"Centurion helmet";"Centurio sisak";"백부장 헬멧";"Шлем центуриона";"Centurion helmet";"百\t夫\t長\t頭\t盔";"Centurion helmet";"Nón bách phu trưởng ";;
"attachables/scutum";"Scutum shield";"Bouclier scutum";"Scutum";"Scutum-Schild";"Escudo Scutum";"Щит Скутум";"Scutum (tarcza)";"Štít scutum";"Scutum kalkanı";"罗\t马\t方\t盾";"スクトゥムの\t盾";"Scutum";"Щит Скутум";"Scutum shield";"Scutum";"스쿠툼 방패";"Щит Скутум";"Scutum shield";"羅\t馬\t方\t盾";"Scutum shield";"Khiên Scutum";;
"attachables/anchor_danforth_ship";"Anchor Danforth";"Ancre Danforth";"Ancora Danforth";"Danforth-Anker";"Ancla Danforth";"Якорь Дэнфорта";"Kotwica Danfortha";"Kotva Danforth";"Dantforth Çapası";"丹\t福\t斯\t锚";"ダンフォース\t型\tアンカー";"Âncora Danforth";"Якір Денфорта";"Anchor Danforth";"Danforth horgony";"댄퍼스 닻";"Якорь Дэнфорта";"Anchor Danforth";"丹\t福\t斯\t錨";"Anchor Danforth";"Neo Danforth";;
"attachables/anchor_matrosov_ship";"Anchor Matrosov";"Ancre Matrosov";"Ancora Matrosov";"Matrosov-Anker";"Ancla Matrosov";"Якорь Матросова литой";"Kotwica Mastrosowa";"Kotva Matrosov";"Matrosof Çapası";"马\t氏\t锚";"マトロソフ\t型\tアンカー";"Âncora Matrosov";"Якір Матросова";"Anchor Matrosov";"Matroszov horgony";"마트로소프 닻";"Якорь Матросова литой";"Anchor Matrosov";"馬\t氏\t錨";"Anchor Matrosov";"Neo Matrosov";;
"attachables/53k";"Anti-tank gun 53-K";"Canon antichar 53-K";"Cannone anticarro 53-K";"Panzerabwehrkanone 53-K";"Cañón antitanque 53-K";"Противотанковая пушка 53-К";"Działo przeciwpancerne 53-K";"Protitankové dělo 53-K";"53-K Anti Tank Topu";"53-K 反\t坦\t克\t炮";"53-K 対戦車砲";"Canhão antitanque 53-K";"Протитанкова гармата 53-К";"Anti-tank gun 53-K";"53-K páncéltörő ágyú";"53-K 대전차포";"Противотанковая пушка 53-К";"Anti-tank gun 53-K";"53-K 反\t坦\t克\t炮";"Anti-tank gun 53-K";"Pháo chống tăng 53-K";;
"attachables/decor_diver_suit";"Diver's suit";"Combinaison de plongée";"Tuta da pilota";"Tauchanzug";"Traje de buzo";"Водолазный костюм";"Skafander nurkowy";"Oblek potápěče";"Dalgıç Kıyafeti";"潜\t水\t服";"ダイバースーツ";"Roupa de mergulho";"Водолазний костюм";"Diver's suit";"Búvárruha";"잠수복";"Водолазный костюм";"Diver's suit";"潛\t水\t服";"Diver's suit";"Đồ lặn";;
"attachables/yamato_propeller";"Propeller (Yamato)";"Hélice (Yamato)";"Elica (Yamato)";"Schiffsschraube (Yamato)";"Hélice (Yamato)";"Гребной винт (Ямато)";"Śruba (Yamato)";"Šroub (Jamato)";"Pervane (Yamato)";"螺\t旋\t桨\t（“大\t和”\t号）";"スクリュー (大和)";"Hélice (Yamato)";"Гребний гвинт (Ямато)";"Propeller (Yamato)";"Hajócsavar (Jamato)";"프로펠러 (야마토)";"Гребной винт (Ямато)";"Propeller (Yamato)";"大\t和\tの\t槳\t葉";"Propeller (Yamato)";"Chân vịt (Yamato) ";;
"attachables/uss_north_carolina_anchor";"Anchor of the USS North Carolina";"Ancre de l'USS North Carolina";"Ancora della USS North Carolina";"Anker der USS North Carolina";"Ancla del USS North Carolina";"Якорь (USS North Carolina)";"Kotwica okrętu USS North Carolina";"Kotva USS North Caroline";"USS North Carolina'nın Çapası";"船\t锚\t（“北\t卡\t罗\t来\t纳”\t号）";"米海軍\tノースカロライナの\t錨";"Âncora do USS North Carolina";"Якір (USS North Carolina)";"Anchor of the USS North Carolina";"A USS North Carolina horgonya";"USS 노스 캐롤라이나의 닻";"Якорь (USS North Carolina)";"Anchor of the USS North Carolina";"北\t卡\t羅\t來\t納\t的\t錨";"Anchor of the USS North Carolina";"Mỏ neo của USS North Carolina ";;
"attachables/chrysanthemum_emblem";"Imperial Seal of Japan";"Sceau impérial japonais 
";"Emblema del Giappone Imperiale";"Kaiserliches Siegel von Japan";"Sello Imperial de Japón";"Императорская печать";"Herb Japonii";"Japonská císařská pečeť";"Japon İmparatorluk Mührü";"菊\t花\t御\t纹";"日本の\t国章";"Selo Imperial do Japão";"Імператорська печатка";"Imperial Seal of Japan";"Japán birodalmi pecsét";"일본의 옥새";"Императорская печать";"Imperial Seal of Japan";"菊\t花\t紋\t章";"Imperial Seal of Japan";"Hoàng gia huy Nhật Bản";;
"attachables/german_cross_ship";"Iron Cross";"Croix de fer";"Croce di Ferro";"Eisernes Kreuz";"Cruz de Hierro";"Железный крест";"Krzyż Żelazny";"Železný kříž";"Temir Haç";"铁\t十\t字";"鉄十字章";"Cruz de Ferro";"Залізний хрест";"Iron Cross";"Vaskereszt";"철십자";"Железный крест";"Iron Cross";"鐵\t十\t字";"Iron Cross";"Chữ Thập Sắt";;
"attachables/soviet_star_ship";"Red Star";"Étoile Rouge";"Stella Rossa";"Roter Stern";"Estrella Roja";"Красная звезда";"Czerwona Gwiazda";"Rudá hvězda";"Kızıl Yıldız";"红\t五\t星";"赤い\t星";"Estrela Vermelha";"Червона зірка";"Red Star";"Vörös csillag";"붉은 별";"Красная звезда";"Red Star";"紅\t星";"Red Star";"Ngôi sao đỏ";;
"attachables/usn_emblem";"Emblem of the United States Navy";"Emblème de la marine américaine ";"Emblema della Marina degli Stati Uniti";"Abzeichen der United States Navy";"Emblema de la Armada de los Estados Unidos";"Герб ВМС США";"Emblemat Marynarki Wojennej Stanów Zjednoczonych";"Emblém Námořnictva Spojených států";"Birleşik Devletler Donanması Amblemi";"美\t国\t海\t军\t徽\t标";"アメリカ\t海軍の\t記章";"Emblema da Marinha dos EUA";"Герб ВМС США";"Emblem of the United States Navy";"Az Amerikai Egyesült Államok Haditengerészetének emblémája";"미국 해군 엠블럼";"Герб ВМС США";"Emblem of the United States Navy";"美\t國\t海\t軍\t徽\t標";"Emblem of the United States Navy";"Quân huy của Hải quân Hoa Kỳ";;
"attachables/gagarin_helmet";"Cosmonaut's Helmet";"Casque de cosmonaute ";"Casco da cosmonauta";"Kosmonautenhelm";"Casco de Cosmonauta";"Шлем Космонавта";"Hełm kosmonauty";"Na prémiový stroj";"Kozmonot Miğferi";"宇\t航\t员\t头\t盔";"宇宙服の\tヘルメット";"Capacete de Cosmonauta";"Шолом Космонавта";"Cosmonaut's Helmet";"Űrhajós sisak";"우주비행사 헬멧";"Шлем Космонавта";"Cosmonaut's Helmet";"宇\t航\t員\t頭\t盔";"Cosmonaut's Helmet";"Nón phi hành gia";;
"attachables/vostok_lander";"The ""Vostok"" capsule";"Capsule ""Vostok""";"Capsula ""Vostok""";"Die ""Wostok"" Kapsel";"La cápsula ""Vostok""";"Спускаемый аппарат ""Восток""";"Kapsuła Wostok";"Kapsle ""Vostok""";"""Vostok"" kapsülü";"“东\t方”\t号\t宇\t宙\t飞\t船";"「ボストーク」\tの\tカプセル";"A capsúla ""Vostok""";"Спусковий апарат ""Восток""";"The ""Vostok"" capsule";"Vosztok kapszula";"""보스토크"" 캡슐";"Спускаемый аппарат ""Восток""";"The ""Vostok"" capsule";"“東\t方”\t號\t宇\t宙\t飛\t船";"The ""Vostok"" capsule";"Tàu vũ trụ Vostok";;
"attachables/dumper_wheel";"Dumper wheel";"Roue agricole";"Ruota di trattore";"Muldenkipper-Rad";"Neumático de tractor";"Колесо самосвала";"Koło ładowarki";"Kolo sklápěče";"Kamyon Tekerleği";"翻\t斗\t车\t车\t轮";"ダンパーホイール ";"Roda de trator";"Колесо самоскида";"Dumper wheel";"Dömperkerék";"덤퍼 휠";"Колесо самосвала";"Dumper wheel";"推\t土\t機\t輪\t胎";"Dumper wheel";"Bánh xe xúc";;
"attachables/skull_weight";"Kettlebell-skull";"Crâne Kettlebell";"Kettlebell-Teschio";"Schädelkugelhantel";"Kettlebell-calavera";"Гиря-череп";"Czaszka odważnik";"Kettlebell-lebka";"Kurukafa Girya";"骷\t髅\t壶\t铃";"ケトルベル-スカル";"Kettlebell Caveira";"Гиря-череп";"Kettlebell-skull";"Kettlebell-koponya";"해골 케틀벨";"Гиря-череп";"Kettlebell-skull";"骷\t髏\t壺\t鈴";"Kettlebell-skull";"Kettlebell hình đầu lâu";;
"attachables/husafell_stone";"Húsafell Stone";"Pierre Húsafell";"Pietra Húsafell";"Húsafell Stein";"Piedra de Husafell";"Камень Хусафеля";"Kamień Húsafell";"Kámen Húsafell";"Húsafell Taşı";"哈\t萨\t菲\t尔\t之\t石";"ハサフェルストーン";"Rocha de Húsafell";"Камінь Хусафеля";"Húsafell Stone";"Húsafell-kő";"후사펠 스톤";"Камень Хусафеля";"Húsafell Stone";"胡\t薩\t費\t德\t之\t石";"Húsafell Stone";"Cục đá Húsafell";;
"attachables/m1_garand";"M1 Garand";"M1 Garand";"M1 Garand";"M1 Garand";"M1 Garand";"M1 Garand";"M1 Garand";"M1 Garand";"M1 Garand";"M1 加\t兰\t德\t步\t枪";"M1 ガーランド";"M1 Garand";"M1 Garand";"M1 Garand";"M1 Garand";"M1 개런드";"M1 Garand";"M1 Garand";"M1 加\t蘭\t德";"M1 Garand";"M1 Garand";;
"attachables/roks_flamethrowers";"ROKS-3";"ROKS-3";"ROKS-3";"ROKS-3";"ROKS-3";"РОКС-3";"ROKS-3";"ROKS-3";"ROKS-3";"ROKS-3 火\t焰\t喷\t射\t器";"ROKS-3";"ROKS-3";"РОКС-3";"ROKS-3";"ROKS-3";"ROKS-3";"РОКС-3";"ROKS-3";"ROKS-3";"ROKS-3";"ROKS-3";;
"attachables/bren_mk2";"Bren Mk II";"Bren Mk II";"Bren Mk II";"Bren Mk II";"Bren Mk II";"Bren Mk II";"Bren Mk II";"Bren Mk II";"Bren Mk II";"“布\t伦”\tMk II 轻\t机\t枪";"ブレン Mk II";"Bren Mk II";"Bren Mk II";"Bren Mk II";"Bren Mk. II";"브렌 MK II";"Bren Mk II";"Bren Mk II";"“布\t倫”\tMk II 輕\t機\t槍";"Bren Mk II";"Bren Mk II";;
"attachables/acs_shield";"ACS shield";"Bouclier ACS";"Scudo ACS";"ACS-Schild";"Escudo ACS";"Щит АКС";"Tarcza ACS";"ACS štít";"ACS shield";"AKS 盾\t牌";"ACS\tシールド";"Escudo ACS";"Щит АКС";"ACS shield";"ACS pajzs";"ACS 방패";"Щит АКС";"ACS shield";"ACS 護\t盾";"ACS shield";"Khiên ACS";;
"attachables/voltigeur_sign";"Voltigeurs emblem";"Emblème des Voltigeurs";"Stemma Volteggiatori";"Voltigeur Abzeichen";"Emblema Voltigeurs";"Эмблема вольтижёров";"Emblemat woltyżerów";"emblém Voltigeurs";"Voltigeurs Amblemi";"腾\t跃\t兵\t徽\t标";"曲芸飛行\tパイロットの\t記章";"Emblema Voltigeurs";"Емблема вольтігерів";"Voltigeurs emblem";"Harcosok embléma";"""기동 타격대"" 엠블럼";"Эмблема вольтижёров";"Voltigeurs emblem";"跳\t躍\t兵\t徽\t標";"Voltigeurs emblem";"Quân huy Voltigeurs";;
"attachables/helmet_m51";"Infantry helmet M51 of 1957 (France)";"Casque d'infanterie M51 de 1957 (France)";"Elmetto da fanteria M51 del 1957 (Francia)";"Infanteriehelm M51 von 1957 (Frankreich)";"Casco de infantería M51 de 1957 (Francia)";"Пехотная каска M51 обр. 1957 (Франция)";"Hełm piechoty M51 z roku 1957 (Francja)";"Francouzská pěchotní helma M51 z 1957";"Piyade miğferi M51, 1957 (Fransa)";"法\t国 51 型\t步\t兵\t头\t盔\t（1957 年）";"フランス\t製歩兵用\tヘルメット\tM51（1957年）";"Capacete de infantaria M51 de 1957 (França)";"Піхотна каска M51 зраз. 1957 р. (Франція)";"Infantry helmet M51 of 1957 (France)";"Francia M51 gyalogsági sisak, 1957";"1957년에 생산된 M51 보병용 헬멧 (프랑스)";"Пехотная каска M51 обр. 1957 (Франция)";"Infantry helmet M51 of 1957 (France)";"法\t國 51 型\t步\t兵\t頭\t盔\t（1957 年）";"Infantry helmet M51 of 1957 (France)";"Nón bộ binh M51 năm 1957 (Pháp)";;
